/* DATA DESCRIPTION:
Citation:	Bessler, Holger; Engels, Christof (2017): Belowground biomass productivity from the Jena Experiment (Main Experiment, year 2007). PANGAEA, https://doi.org/10.1594/PANGAEA.880329, 
	In: Bessler, Holger; Engels, Christof; Ravenek, Janneke; Mommer, Liesje; de Kroon, Hans; Oram, Natalie; Chen, Hongmei; Weigelt, Alexandra; Luo, Guangjuan; Meyer, Sebastian Tobias (2017): Collection of data on belowground plant biomass and morphological root parameters in the Jena Experiment. PANGAEA, https://doi.org/10.1594/PANGAEA.880330
Abstract:	This data set contains measurements of belowground biomass productivity, i.e. coarse and fine root biomass production (N-concentration of the fine roots are attached to this dataset as well). Data presented here is from the Main Experiment plots of a large grassland biodiversity experiment (the Jena Experiment; see further details below). In the Main experiment, 82 grassland plots of 20 x 20 m were established from a pool of 60 species belonging to four functional groups (grasses, legumes, tall and small herbs). In May 2002, varying numbers of plant species from this species pool were sown into the plots to create a gradient of plant species richness (1, 2, 4, 8, 16 and 60 species) and functional richness (1, 2, 3, 4 functional groups). Plots were maintained in general by bi-annual weeding and mowing. Since 2010, plots were weeded three times per year. 
	In July 2007, five soil cores with a 4.8 cm diameter per plot were removed to 30 cm depth. The removed soil was replaced by root-free soil from the field site. The ingrowth cores were removed in June 2008 and cut with scissors until root fragments were < 1 cm in length. For root washing, a 210 g subsample of the bulk material was taken and soaked in water. The soil was removed from the roots by rinsing over a sieve with 0.5 mm mesh width. Then, organic debris and remaining soil particles were removed by hand. The remaining roots were dried at 70 °C and weighed. 
	In 2008, ingrowth cores were separated in depth increments of 0-5, 5-10, 10-20 and 20-30 cm depth. Roots were seperated in coarse (diameter > 2 mm) and fine roots before cutting the bulk material. Fine roots were grinded in a ball mill and 20 mg of the grinded material was used to determine N-concentration of the fine roots with VarioMax CNS (Elementar).
Related to:	Bessler, Holger; Temperton, Vicky; Roscher, Christiane; Buchmann, Nina; Schmid, Bernhard; Schulze, Ernst-Detlef; Weisser, Wolfgang; Engels, Christof (2009): Aboveground overyielding in grassland mixtures is associated with reduced biomass partitioning to belowground organs. Ecology, 90(6), 1520-1530, https://doi.org/10.1890/08-0867.1
	Roscher, Christiane; Bessler, Holger; Oelmann, Yvonne; Engels, Christof; Wilcke, Wolfgang; Schulze, Ernst-Detlef (2009): Resources, recruitment limitation and invader species identity determine pattern of spontaneous invasion in experimental grasslands. Journal of Ecology, 97(1), 32-47, https://doi.org/10.1111/j.1365-2745.2008.01451.x
	Scherber, Christoph; Mwangi, Peter N; Schmitz, Martin; Scherer-Lorenzen, Michael; Bessler, Holger; Engels, Christof; Eisenhauer, Nico; Migunova, Varvara D; Scheu, Stefan; Weisser, Wolfgang; Schulze, Ernst-Detlef; Schmid, Bernhard (2010): Biodiversity and belowground interactions mediate community invasion resistance against a tall herb invader. Journal of Plant Ecology-Uk, 3(2), 99-108, https://doi.org/10.1093/jpe/rtq003
	Steinbeiss, Sibylle; Bessler, Holger; Engels, Christof; Temperton, Vicky; Buchmann, Nina; Roscher, Christiane; Kreutziger, Yvonne; Baade, Jussi; Habekost, Maike; Gleixner, Gerd (2008): Plant diversity positively affects short-term soil carbon storage in experimental grasslands. Global Change Biology, 14, 2937-2949, https://doi.org/10.1111/j.1365-2486.2008.01697.x
Further details:	Plot information of the Jena Main Experiment (URI: http://store.pangaea.de/Publications/Jena_Experiment/PlotInformationMainExperiment.txt)
	Treatment description (URI: http://store.pangaea.de/Publications/Jena_Experiment/TreatmentDefinitionsJuly2012.pdf)
Project(s):	The Jena Experiment (JenExp) (URI: http://www.the-jena-experiment.de/)
Coverage:	LATITUDE: 50.946100 * LONGITUDE: 11.611300
	DATE/TIME START: 2007-01-01T00:00:00 * DATE/TIME END: 2007-12-31T00:00:00
	MINIMUM DEPTH, soil: 0.025 m * MAXIMUM DEPTH, soil: 0.250 m
Event(s):	JenExp_2007 (Jena Experiment 2007) * LATITUDE: 50.946100 * LONGITUDE: 11.611300 * DATE/TIME START: 2007-01-01T00:00:00 * DATE/TIME END: 2007-12-31T00:00:00 * LOCATION: Thuringia, Germany * DEVICE: Experiment (EXP)
Comment:	The Main experiment on the field site of the Jena Experiment comprises a split-plot design in which additional treatments (e.g. no weeding allowing for invasion of other species, or application of fertilizer) have been applied to subplots along the outer margin of the plots (see Treatment description in the section "further details"). While in this dataset only data from the core area (mown and weeding of all none-sown species twice a year, no additional treatments) is reported, all potential treatments are listed as the first parameters in the data file to guarantee compatibility with other datasets that include different treatments. 
	There are two types of missing values contained in the dataset. Empty cells represent missing values that result from the design of the experiment when the respective value does not occur and could thus not be measured. For example, in the columns of species-specific biomass cells are left blank, when the species was not sown into the respective plot. Missing values that resulted from methodological problems, sampling errors, or lost samples/data are marked with "-9999".
	This dataset is part of a collection of measurements of belowground plant biomass and morphological root parameters in the Jena Experiment. Similar data from other experiments (e.g. Main Experiment, Dominance Experiment; see details above), other years, or other methods quantifying related data might be available (https://doi.pangaea.de/10.1594/PANGAEA.880330).
Parameter(s):	Experimental plot (Experimental plot) * COMMENT: Detailed explanations of plots and the plant diversity gradient are provided in the section further details.
	Depth, soil, minimum [m] (Depth soil min)
	Depth, soil, maximum [m] (Depth soil max)
	DEPTH, soil [m] (Depth soil) * GEOCODE
	Date/time start (Date/time start) * COMMENT: of sampling campaign
	Date/time end (Date/time end) * COMMENT: of sampling campaign
	Treatment: mowing (Treat mow) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: weeding (Treat weed) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: weeding history (Treat weed hist) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: seed addition (Treat seed add) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: fertilizing (Treat fert) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: drought (Treat drought) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: above ground: pesticide (Treat above ground pest) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: below pesticide (Treat below pest) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: molluscide (Treat mollus) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: nematicide (Treat nema) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: eartworm exclosure (Treat eartworm excl) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: phytometers (Treat phyto) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: special (Treat special) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Root biomass production, fine roots [g/m**2] (Root biom prod fine) * COMMENT: Measured on plot level
	Root biomass production, coarse roots [g/m**2] (Root biom prod coarse) * COMMENT: Measured on plot level
	Nitrogen, root, fine [%] (N root fine)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	8282 data points
*/
Experimental plot	Depth soil min [m]	Depth soil max [m]	Depth soil [m]	Date/time start	Date/time end	Treat mow	Treat weed	Treat weed hist	Treat seed add	Treat fert	Treat drought	Treat above ground pest	Treat below pest	Treat mollus	Treat nema	Treat eartworm excl	Treat phyto	Treat special	Root biom prod fine [g/m**2]	Root biom prod coarse [g/m**2]	N root fine [%]
B2A05	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	100.01	0.00	
B2A06	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	87.89	2.72	
B2A06	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	408.10	11.06	1.15
B2A06	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	140.26	8.34	
B2A06	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	105.17	0.00	
B2A06	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	74.78	0.00	
B2A08	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	95.98	0.00	
B2A08	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	369.46	0.00	0.96
B2A08	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	87.84	0.00	
B2A08	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	135.28	0.00	
B2A08	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	50.36	0.00	
B2A09	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	66.60	0.00	
B2A09	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	344.39	0.00	0.97
B2A09	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	110.04	0.00	
B2A09	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	107.05	0.00	
B2A09	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	60.70	0.00	
B2A10	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	129.34	0.00	
B2A10	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	611.16	0.00	0.81
B2A10	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	246.02	0.00	
B2A10	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	112.46	0.00	
B2A10	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	123.34	0.00	
B2A12	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	88.42	0.00	
B2A12	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	466.84	0.00	0.98
B2A12	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	139.90	0.00	
B2A12	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	136.80	0.00	
B2A12	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	101.72	0.00	
B2A13	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	91.74	0.00	
B2A13	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	256.46	-9999.00	1.03
B2A13	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	50.15	0.00	
B2A13	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	53.44	-9999.00	
B2A13	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	61.13	0.00	
B2A14	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	167.56	38.44	
B2A14	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	533.45	73.07	0.91
B2A14	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	158.44	0.00	
B2A14	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	146.95	25.74	
B2A14	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	60.50	8.89	
B2A15	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	34.58	0.00	
B2A15	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	205.70	0.00	1.22
B2A15	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	31.14	0.00	
B2A15	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	114.82	0.00	
B2A15	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	25.16	0.00	
B2A16	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	36.29	-9999.00	
B2A16	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	391.35	-9999.00	0.94
B2A16	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	92.14	0.00	
B2A16	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	209.64	0.00	
B2A16	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	53.28	0.00	
B2A17	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	62.16	4.94	
B2A17	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	485.28	4.94	0.94
B2A17	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	178.63	0.00	
B2A17	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	161.22	0.00	
B2A17	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	83.27	0.00	
B2A18	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	98.08	0.00	
B2A18	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	389.63	0.00	0.91
B2A18	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	115.41	0.00	
B2A18	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	116.79	0.00	
B2A18	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	59.35	0.00	
B2A19	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	87.76	0.00	
B2A19	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	335.79	0.00	0.90
B2A19	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	84.24	0.00	
B2A19	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	108.54	0.00	
B2A19	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	55.25	0.00	
B2A20	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	111.29	0.00	
B2A20	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	434.46	0.00	0.96
B2A20	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	152.77	0.00	
B2A20	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	94.08	0.00	
B2A20	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	76.32	0.00	
B2A21	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	31.38	0.00	
B2A21	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	289.45	1.53	1.14
B2A21	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	91.44	0.00	
B2A21	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	139.76	0.00	
B2A21	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	26.87	1.53	
B2A22	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	139.90	0.00	
B2A22	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	496.34	0.00	0.88
B2A22	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	187.72	0.00	
B2A22	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	110.52	0.00	
B2A22	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	58.20	0.00	
B3A01	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	44.46	0.00	
B3A01	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	196.46	0.00	1.22
B3A01	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	86.37	0.00	
B3A01	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	24.20	0.00	
B3A01	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	41.43	0.00	
B3A02	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	142.52	0.00	
B3A02	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	548.75	0.00	0.95
B3A02	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	136.93	0.00	
B3A02	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	172.70	0.00	
B3A02	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	96.60	0.00	
B3A03	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	188.57	0.00	
B3A03	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	808.91	-9999.00	0.89
B3A03	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	232.27	0.00	
B3A03	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	245.06	0.00	
B3A03	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	143.01	-9999.00	
B3A04	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	129.95	0.00	
B3A04	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	356.66	6.13	0.81
B3A04	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	70.64	0.00	
B3A04	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	77.39	0.00	
B3A04	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	78.68	6.13	
